ID,COUNTRY,C_ID,TYPE,TYPE2,XCOO,YCOO,XLAEA,YLAEA,ALT,CIA,sand,silt,clay,sand_norm,silt_norm,clay_norm,soiltype,soilclass,climate,MeanTemp,AnnPrec,PM,CEC,pH_CaCl2,TOC,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,C_tot,S_tot,SiO2,Si_XRF,TiO2,Ti_XRF,Al2O3,Al_XRF,Fe2O3,Fe_XRF,MnO,Mn_XRF,MgO,Mg_XRF,CaO,Ca_XRF,Na2O,Na_XRF,K2O,K_XRF,P2O5,P_XRF,SO3,S_XRF,Cl_XRF,F_XRF,LOI,As_XRF,Ba_XRF,Bi_XRF,Ce_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Ga_XRF,Hf_XRF,La_XRF,Mo_XRF,Nb_XRF,Ni_XRF,Pb_XRF,Rb_XRF,Sb_XRF,Sc_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Th_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Zn_XRF,Zr_XRF,208_207,207_208,208_206,206_208,206_207,207_206,SUSCEPTIBILITY,SUSCEPTIBILITY/FE2O3
3001,GER,39,Ap,ApS,10.6667,52.4167,4366358.988,3256570.511,77,64.5,67,21,8,69.7,21.8,8.5,lS,l,Temp,8.8,604,quartz,9.3,6.05,1.3,0.0232,2805,1.554,0.004893,1.94,19.4,0.0713,0.0986,1256,0.2120,10.3,0.86,5.66,0.387,3.47,2894,0.991,0.0100,0.02153,0.04369,0.01907,559,6.169,2.946,411,144,0.159,27.1,0.208,1.93,523,14.91,0.00050,0.00050,6.35,0.000250,80,0.1680,0.5151,0.1625,0.4349,10.0,0.0105,0.0100,0.855,26.0,0.0638,0.425,12.8,0.0738,1.90,19.2,0.652,1.36,0.018,89.27,417283,0.306,1834,3.57,18894,0.8,5595,0.028,217,0.15,905,0.341,2437,0.4,2967,1.181,9804,0.135,589,0.005,0.002,0.001,0.025,3.67,1.5,253,1.5,10,1.5,25,1.5,2.5,3,10,10,1,8,1.5,19,38,2.5,3,2,47,2.5,5,1.5,24,2.5,13,30,324,2.467703883,0.405066743,2.073607066,0.481897377,1.189626303,0.840264459,0.084124223,0.105155278
3002,SKA,20,Ap,ApS,19.608,48.5683,5028057.752,2874475.41,775,69.4,48,41,12,47.4,40.6,12,lS,l,Temp,5.6,864,other,11.1,4.9,2,0.0264,12251,2.907,0.000757,0.81,58.3,0.3890,0.1514,935,0.1599,40.9,4.82,8.02,1.170,4.94,13391,3.823,0.0100,0.00500,0.06398,0.01445,2033,14.546,11.357,3003,447,0.308,19.7,0.611,5.42,547,20.38,0.00050,0.00050,23.07,0.000605,202,0.9678,0.9955,0.1750,0.6244,12.1,0.0025,0.0100,4.587,390.0,0.1823,1.440,18.6,0.0237,2.23,50.0,0.173,2.09,0.025,65.44,305892,0.683,4095,15.18,80340,3.53,24690,0.08,620,1.04,6272,0.71,5074,2.11,15653,2.602,21600,0.195,851,0.005,0.002,0.001,0.025,8.12,4,862,1.5,77,8,24,5,2.5,21,8,22,1,11,6,25,75,2.5,8,2,278,2.5,13,3,68,2.5,14,67,281,2.481793766,0.40272964,2.057704894,0.485558762,1.20559444,0.829066703,0.119516141,0.033857264
3003,EST,9,Ap,ApN,22.5333,58.58,5046996.613,4006167.894,17,56.2,64,23,5,69.4,24.7,5.8,lS,l,BoTe,5.8,579,other,13.9,6.2,2.8,0.0262,4573,1.882,0.000455,3.72,24.1,0.4025,0.1357,2620,0.1781,27.8,2.81,7.61,0.742,6.49,7557,1.950,0.0100,0.00500,0.02801,0.00998,1046,13.939,6.823,1502,260,0.400,28.5,0.706,4.83,698,10.59,0.00050,0.00050,14.32,0.000250,345,0.0735,1.0296,0.2175,0.6311,22.6,0.0025,0.0100,1.594,131.5,0.0787,0.526,12.1,0.0640,4.37,44.1,0.461,2.86,0.03,77.21,360910,0.28,1679,7.68,40646,1.74,12170,0.048,372,0.51,3075,0.956,6833,1.25,9273,2.605,21625,0.196,855,0.005,0.002,0.005,0.025,7.33,1.5,453,1.5,39,6,20,4,2.5,9,12,10,1,7,6,19,88,2.5,4,2,111,2.5,9,1.5,30,2.5,21,59,222,2.535238469,0.394386694,1.961633099,0.510190301,1.293068293,0.773510339,0.164544662,0.094565898
3004,LIT,9,Ap,ApN,24.9375,55.4631,5258480.127,3693116.32,83,57,60,27,11,61.4,27.5,11.2,lS,l,BoTe,6.1,619,other,15.6,6.81,1.8,0.0319,5150,1.277,0.000359,1.49,42.4,0.2411,0.0853,3269,0.1404,24.2,2.85,8.03,0.483,5.22,6862,1.852,0.0100,0.05215,0.01604,0.01151,652,13.021,5.235,1676,154,0.122,19.5,0.329,5.38,424,7.67,0.00107,0.00050,7.98,0.000250,228,0.0796,1.1305,0.1641,0.4044,11.3,0.0025,0.0100,2.050,59.0,0.0711,0.634,11.7,0.0380,4.51,19.4,1.253,1.79,0.02,81.31,380075,0.396,2374,6.45,34137,1.56,10911,0.033,256,0.53,3196,0.844,6032,0.59,4377,2.28,18927,0.124,541,0.04,0.016,0.002,0.025,5.66,1.5,374,1.5,52,6,25,4,2.5,6,2.5,10,1,10,8,14,57,2.5,4,2,73,2.5,5,3,30,2.5,20,33,329,2.568111073,0.389541908,2.019978161,0.495371264,1.271658666,0.786531206,0.02738591,0.017555071
3005,NOR,9,Ap,ApN,25.0675,70.5008,4884643.708,5324544.679,4,48.9,83,16,1,83.3,16.1,0.6,S,ll,Spbo,-1.1,516,org,24.7,4.48,11,0.0226,3394,0.597,0.000959,2.65,37.5,0.1011,0.0543,5935,0.3580,19.8,2.43,6.92,0.963,6.81,7065,1.476,0.0309,0.01402,0.02353,0.00393,1096,14.565,1.918,2824,94,0.485,42.5,1.094,4.40,657,6.99,0.00050,0.00050,25.73,0.000250,902,0.0542,0.7499,0.4544,0.4163,69.1,0.0025,0.0100,0.838,354.8,0.1183,1.129,9.4,0.0222,4.52,32.4,0.415,10.4,0.105,59.35,277425,0.444,2662,8.19,43346,2.18,15248,0.062,480,0.81,4885,2.271,16231,1.91,14169,1.335,11082,0.206,899,0.18,0.0721,0.002,0.025,22.82,1.5,418,1.5,41,6,22,1.5,2.5,7,9,10,1,9,7,15,43,2.5,7,2,249,2.5,7,1.5,37,2.5,27,41,313,2.454485235,0.407297671,2.048626675,0.487844116,1.197723812,0.83462283,0.050421728,0.023129233
3006,PTG,22,Ap,ApS,-8.9333,38.9333,2688121.816,1965079.568,3,74.8,29,45,35,26.9,41.1,32.1,L,s,Medi,16.9,670,other,32.3,7.17,3.5,0.0763,24941,13.810,0.001637,10.73,71.2,2.1831,0.7026,5813,0.1636,45.8,12.85,34.20,5.949,21.26,32915,7.914,0.0560,0.17220,0.03118,0.04344,6287,25.458,56.183,9046,624,0.348,471.7,1.315,25.12,725,25.17,0.00231,0.00174,66.22,0.000250,400,0.4036,4.7059,0.3556,2.7007,44.1,0.0025,0.0100,8.720,237.7,0.4085,2.108,37.2,0.1581,11.76,99.5,6.662,1.96,0.042,53.34,249332,0.778,4664,19.2,101616,6.38,44624,0.097,751,2.23,13448,0.979,6997,0.68,5045,3.454,28673,0.224,978,0.05,0.02,0.005,0.025,12.33,17,477,1.5,74,16,83,17,18,27,9,33,1,18,38,32,177,2.5,17,7,98,2.5,16,5,108,2.5,36,129,161,2.467757866,0.405005901,2.046972772,0.488026765,1.204937981,0.829453584,0.165559298,0.025949733
3007,GER,44,Ap,ApN,14.3333,52.5833,4614526.978,3283654.634,8,73.1,43,32,25,43.2,31.7,25,L,s,Temp,9.1,528,other,27.2,6.95,2.4,0.0647,7131,4.241,0.002467,3.50,194.3,0.7652,0.2131,6372,0.2506,30.8,5.00,15.24,0.618,19.60,14873,2.141,0.0100,0.11582,0.05698,0.02239,2743,16.997,9.366,1714,356,0.221,53.0,0.489,12.92,1530,14.76,0.00199,0.00050,9.47,0.000250,415,0.1996,2.8428,0.4811,0.7345,43.7,0.0025,0.0100,4.559,29.5,0.0827,1.382,16.4,0.0559,12.99,54.9,4.307,2.55,0.04,74.26,347120,0.424,2542,8.26,43716,3.43,23991,0.052,403,0.63,3799,1.027,7340,0.49,3635,1.713,14220,0.352,1536,0.07,0.028,0.002,0.025,9.07,5,413,1.5,43,9,54,5,16,10,7,20,1,9,19,19,59,2.5,9,2,83,2.5,11,4,59,2.5,28,74,187,2.481836295,0.402715135,2.04093526,0.48952687,1.215499695,0.822303091,0.149877622,0.0436961
3008,LIT,11,Ap,ApN,25.0006,56.1044,5247170.697,3763927.453,69,58.5,50,33,17,50,32.8,17.1,sL,m,BoTe,5.9,627,other,11.1,7.13,0.9,0.0297,5837,1.950,0.000725,3.27,31.3,0.3617,0.0985,6730,0.0911,28.1,4.26,10.38,0.594,7.57,9102,2.072,0.0315,0.01920,0.01353,0.01383,1161,15.298,8.027,4033,307,0.286,28.5,0.384,8.15,377,9.06,0.00112,0.00050,14.01,0.000250,102,0.0918,1.4401,0.0250,0.4413,12.7,0.0025,0.0100,2.593,124.7,0.1016,0.501,12.6,0.0561,5.91,26.6,0.934,1.07,0.005,79.33,370819,0.375,2248,7.32,38741,2.13,14898,0.061,472,0.97,5849,1.528,10921,0.7,5193,2.564,21285,0.113,493,0.04,0.016,0.004,0.025,4.65,1.5,374,1.5,50,4,29,6,6,8,12,26,1,8,11,19,67,2.5,7,2,82,2.5,2.5,1.5,36,2.5,23,36,288,2.580203444,0.387383377,2.013419494,0.496250452,1.280955711,0.780286616,0.081054631,0.038053817
3009,POL,11,Ap,ApN,22.0199,54.0378,5104456.41,3502048.959,141,65.1,47,31,15,50.5,32.9,16.6,sL,m,BoTe,6.6,649,quartz,14.1,6.57,1.4,0.0165,6038,2.392,0.000316,3.04,33.8,0.2887,0.0903,2314,0.1308,19.9,3.44,11.09,0.456,4.83,8884,2.015,0.0100,0.04291,0.01547,0.00620,958,10.523,6.392,1517,203,0.234,22.0,0.436,6.16,399,9.97,0.00146,0.00050,8.80,0.000250,166,0.0948,1.2095,0.1068,0.4363,8.1,0.0025,0.0100,2.303,82.1,0.0707,0.527,13.0,0.0541,3.88,26.8,1.347,1.51,0.013,82.43,385310,0.362,2170,6.31,33396,1.97,13779,0.041,318,0.51,3075,0.664,4746,0.64,4748,1.965,16312,0.126,550,0.005,0.002,0.003,0.025,4.8,3,339,1.5,33,6,35,5,2.5,6,2.5,10,1,8,8,16,59,2.5,5,2,63,2.5,2.5,1.5,31,2.5,19,39,267,2.512129926,0.39788808,1.982128955,0.504109545,1.26688023,0.788970688,0.056251203,0.02855391
3011,SWE,167,Ap,ApN,16.6682,58.645,4708232.105,3967456.015,49,56.7,57,29,8,60.5,31,8.5,lS,l,BoTe,6.6,567,prec,12.6,5.25,3.7,0.0249,7511,0.890,0.000407,1.13,39.4,0.3778,0.1146,1917,0.1303,32.9,1.76,14.20,1.209,3.65,5615,3.378,0.0390,0.00500,0.03544,0.01882,981,19.883,6.814,1528,130,0.236,38.7,1.004,4.42,374,8.77,0.00050,0.00050,9.21,0.000250,303,0.0670,1.3035,0.1883,0.8722,8.6,0.0025,0.0100,2.038,179.0,0.1168,2.299,33.1,0.0707,5.65,13.7,0.626,3.61,0.028,72.44,338613,0.326,1954,10.12,53560,1.38,9652,0.032,248,0.55,3317,1.044,7461,2.1,15579,2.319,19251,0.15,655,0.005,0.002,0.003,0.025,9.34,1.5,424,1.5,42,4,27,5,2.5,13,2.5,28,1,10,6,19,74,2.5,6,2,97,2.5,12,1.5,61,2.5,27,22,229,2.700067732,0.370196829,1.751484716,0.570497842,1.540970691,0.648641959,0.05175281,0.037502036
3012,DEN,6,Ap,ApN,8.7833,55.85,4244750.648,3639066.864,22,63,88,6,1,92.3,6.7,1.1,S,ll,Temp,7.7,833,quartz,7.1,5.11,1.6,0.0111,1332,2.068,0.000232,0.71,10.0,0.1319,0.0440,800,0.1630,5.1,0.72,2.55,0.134,11.67,2555,0.880,0.0100,0.00500,0.01743,0.00596,166,3.172,0.507,142,67,0.105,10.1,0.120,1.56,386,7.40,0.00050,0.00050,1.63,0.000250,134,0.0925,0.2723,0.2138,0.2232,6.1,0.0025,0.0100,0.167,39.1,0.0236,0.389,4.7,0.0175,1.80,14.9,0.126,1.63,0.014,93.44,436775,0.214,1283,1.51,7992,0.56,3917,0.015,116,0.05,302,0.167,1194,0.22,1632,0.484,4018,0.087,380,0.005,0.002,0.012,0.025,3.2,1.5,112,1.5,21,1.5,12,1.5,6,1,6,10,1,6,1.5,6,14,2.5,1,2,25,2.5,2.5,1.5,11,2.5,9,16,244,2.462026131,0.406007355,2.075601793,0.481495893,1.185832415,0.842978139,0.037290672,0.066590485
3013,ITA,11,Ap,ApS,12.8239,37.7925,4571517.805,1639564.686,185,79.7,31,37,31,31.7,36.9,31.4,L,s,Medi,17.2,517,other,36.8,7.15,1.5,0.0516,18723,6.880,0.001670,4.67,133.1,1.0940,0.1807,7599,0.1641,32.8,15.11,33.54,1.289,17.12,25827,5.817,0.0277,0.18041,0.01453,0.02578,2818,14.028,15.930,3475,561,0.479,144.4,0.192,22.39,356,16.64,0.00050,0.00050,23.41,0.000250,160,0.2110,4.6578,0.2485,0.9775,45.4,0.0025,0.0100,5.161,11.7,0.1497,0.732,47.8,0.0214,9.52,45.7,5.938,1.6,0.017,65.98,308416,0.782,4688,12.32,65204,5.17,36161,0.084,651,1.03,6211,1.198,8562,0.31,2300,1.259,10452,0.119,519,0.05,0.02,0.004,0.025,11.43,11,302,1.5,72,17,90,6,13,16,11,31,1,18,30,24,62,2.5,11,2,100,2.5,11,1.5,109,2.5,32,64,381,2.474100466,0.404303095,2.071099872,0.483134727,1.195203113,0.8361807,0.080970742,0.015661652
3015,FRA,99,Ap,ApS,-0.809,46.8801,3499667.268,2700732.543,134,79.5,48,38,19,45.9,35.8,18.3,sL,m,Temp,11.3,759,other,12.3,4.31,2.4,0.0542,20562,10.031,0.001506,0.61,89.2,1.1472,0.2836,980,0.1190,40.8,15.28,33.50,4.010,15.33,26689,6.738,0.0520,0.06021,0.03064,0.02688,1037,19.923,25.235,3630,469,0.400,71.8,0.698,18.40,452,19.16,0.00050,0.00050,22.28,0.000250,346,0.3665,3.3016,0.5201,0.9983,8.5,0.0025,0.0100,4.521,70.5,0.2551,4.181,46.8,0.0397,8.00,60.9,1.954,2.65,0.041,61.83,289018,0.902,5408,15.94,84363,4.94,34552,0.08,620,0.98,5910,0.357,2551,0.95,7048,2.351,19517,0.14,611,0.01,0.004,0.005,0.025,11.28,13,597,1.5,62,21,77,11,16,19,8,21,1,16,25,24,100,2.5,16,2,75,2.5,11,6,113,2.5,31,88,293,2.475545691,0.40371428,2.016565904,0.495371305,1.226952106,0.814539406,0.085620711,0.017332128
3016,FIN,73,Ap,ApN,26.6667,63.1333,5156476.59,4547702.163,108,55.8,42,46,20,38.8,42.4,18.8,sL,m,BoTe,2.5,595,green,15.2,5.01,2.6,0.0508,18047,2.624,0.001340,1.37,153.2,0.8384,0.1526,5340,0.2148,62.4,15.50,53.74,2.232,35.82,32514,7.371,0.1262,0.35548,0.01436,0.02215,4052,37.606,24.391,9891,379,0.865,358.0,2.798,30.64,690,10.05,0.00382,0.00207,40.78,0.000250,249,0.1559,6.2081,0.2957,1.2102,31.6,0.0025,0.0100,8.959,1643.0,0.2846,3.696,61.6,0.1392,14.77,75.1,16.091,2.49,0.019,58.83,274994,0.769,4610,14.27,75524,6.44,45043,0.079,612,2.6,15679,2.233,15959,2.59,19214,2.891,24000,0.187,816,0.005,0.002,0.001,0.07,8.77,1.5,741,1.5,84,19,93,5,27,21,10,34,1,16,42,19,104,2.5,14,2,207,2.5,12,5,101,2.5,33,90,191,2.601373244,0.384181016,1.776895622,0.562193985,1.463262002,0.683015942,0.139089122,0.02159769
3017,UKR,60,Ap,ApN,26.2307,50.9489,5450837.127,3219227.506,166,61.2,72,22,1,75.9,23,1,S,ll,Temp,7.1,592,quartz,5.5,4.27,0.6,0.0074,1602,0.398,0.000558,0.52,17.1,0.1246,0.0241,197,0.0414,7.6,0.74,2.49,0.179,1.78,1729,0.454,0.0100,0.00500,0.00807,0.00150,204,4.106,1.054,220,152,0.086,11.5,0.066,1.75,211,3.62,0.00050,0.00050,3.67,0.000250,43,0.0449,0.3184,0.0825,0.1106,2.7,0.0025,0.0100,0.504,26.8,0.0219,0.171,3.6,0.0126,1.07,5.8,0.127,0.5,0.005,94.76,442945,0.176,1055,1.95,10320,0.41,2868,0.025,194,0.08,482,0.118,843,0.22,1632,0.68,5645,0.057,249,0.005,0.002,0.006,0.025,1.46,1.5,150,1.5,26,1.5,18,1.5,2.5,1,8,10,1,4,3,8,18,2.5,1,2,25,2.5,2.5,1.5,10,2.5,9,10,235,2.529778039,0.395638974,2.056930232,0.486109229,1.229934856,0.812871487,0.033924336,0.082742282
3018,CRO,10,Ap,ApS,15.3217,45.2075,4739356.155,2469980.253,320,80.4,35,47,18,34.9,47,18.1,sL,m,Temp,10.8,1247,other,15.1,4.79,2,0.0452,21321,13.854,0.002453,1.22,76.1,1.0581,0.3377,1723,0.5463,51.3,19.92,36.41,1.540,24.09,31559,5.640,0.0631,0.06527,0.04660,0.03787,1203,26.337,19.673,4207,1277,2.556,35.0,0.815,32.09,592,31.43,0.00050,0.00050,23.62,0.000250,203,0.5243,4.3104,0.2865,1.1613,7.8,0.0065,0.0440,5.142,154.0,0.3300,1.317,47.9,0.1029,11.63,67.3,2.166,2.14,0.024,62,289812,1.197,7176,14.93,79017,6.1,42665,0.194,1502,1.46,8804,0.583,4167,0.77,5712,2.188,18164,0.198,864,0.005,0.002,0.005,0.025,10.05,19,440,1.5,87,22,109,8,19,18,11,54,3,23,49,38,108,2.5,15,2,87,2.5,19,6,134,6,46,100,420,2.47378181,0.404038394,2.003556377,0.498669244,1.234135756,0.809865421,0.439734893,0.072087687
3019,NOR,93,Ap,ApN,5.8572,59.455,4085666.431,4046229.23,251,56.4,58,31,11,58.2,30.9,10.8,lS,l,BoTe,5.7,1763,other,11,5.09,3.8,0.0435,10484,2.726,0.001591,0.71,42.2,0.1200,0.1494,2374,0.1120,25.4,5.92,22.01,1.832,18.11,15905,3.805,0.0429,0.02309,0.04417,0.00769,1120,15.669,14.212,4250,189,1.486,63.5,0.918,13.11,841,12.41,0.00050,0.00050,11.94,0.000250,443,0.1043,1.1567,0.5613,0.4082,33.1,0.0025,0.0100,2.331,529.6,0.1641,1.305,22.9,0.0670,4.37,47.1,1.183,3.85,0.04,61.81,288924,0.687,4119,13.67,72349,4.65,32524,0.118,914,1.57,9468,2.992,21384,2.42,17953,1.564,12983,0.232,1012,0.005,0.002,0.007,0.09,10,1.5,369,1.5,72,12,73,7,12,18,16,10,1,10,17,22,58,2.5,17,2,264,2.5,9,1.5,106,2.5,31,62,186,2.463602324,0.405671459,2.008642143,0.497330401,1.225880655,0.815284803,0.067220251,0.014455968
3021,ITA,104,Ap,ApS,10.956,46.011,4395132.868,2544706.437,250,74.1,30,46,17,32.5,48.8,18.7,sL,m,Temp,12.4,887,chalk,16.9,7.1,1.9,0.0583,14657,9.724,0.004506,4.91,102.1,0.3619,0.2795,67096,0.2520,18.4,9.40,23.48,2.446,212.22,21353,4.412,0.0408,0.00500,0.02064,0.01675,2942,10.977,23.663,20197,501,0.723,294.4,1.624,20.14,1124,23.55,0.00050,0.00050,27.37,0.000250,228,0.2143,3.1045,0.2863,0.9904,88.8,0.0025,0.0253,3.426,630.4,0.2131,1.464,32.9,0.3319,6.95,75.7,0.266,5.22,0.026,45.39,212171,0.529,3171,12.58,66580,4.35,30425,0.091,705,4.32,26051,11.6,82905,1.42,10534,1.902,15789,0.306,1335,0.1,0.04,0.003,0.09,17.1,11,365,1.5,68,11,56,5,199,16,6,22,1,13,23,32,76,2.5,12,2,205,2.5,14,4,82,2.5,28,92,158,2.470671464,0.404481175,2.079753369,0.48025744,1.187265456,0.841721961,0.398441915,0.091595843
3022,HEL,68,Ap,ApS,24.1222,38.5667,5552030.008,1834583.445,10,67.7,30,39,19,33.8,44.4,21.8,sL,m,Medi,17.6,458,green,22.2,7.3,1.1,0.0281,12671,9.780,0.001636,2.55,41.5,0.3154,0.2094,48281,0.1848,18.8,12.13,59.33,0.746,25.22,21505,3.491,0.0529,0.04285,0.04487,0.00929,917,10.508,23.924,8413,535,0.249,104.6,0.236,61.17,662,16.47,0.00050,0.00050,6.54,0.000250,113,0.4035,2.1278,0.1884,0.3941,75.1,0.0025,0.0213,3.514,109.5,0.0500,0.446,25.0,0.0380,6.21,49.6,1.372,2.71,0.005,57.87,270507,0.637,3819,11.82,62557,4.45,31125,0.087,674,2.35,14171,7.892,56404,1.99,14763,1.645,13656,0.168,733,0.06,0.024,0.003,0.07,10.69,12,384,1.5,62,9,156,7,20,12,2.5,10,1,10,75,19,59,2.5,14,2,200,2.5,13,3,84,2.5,31,66,211,2.471405212,0.404372484,2.074680595,0.481444899,1.190519646,0.839418586,0.379346128,0.085246321
3023,HUN,22,Ap,ApS,20.8638,46.7419,5148621.774,2686132.088,91,76.3,22,57,28,20.7,53,26.3,L,s,Temp,10.8,544,other,37,7.5,2.5,0.0487,18391,8.154,0.001547,7.22,120.8,0.7458,0.2370,30491,0.2313,31.0,10.71,29.97,1.496,25.22,23453,5.054,0.0225,0.16028,0.01466,0.02466,3119,16.986,20.116,8106,620,0.303,68.4,0.495,33.77,779,16.41,0.00151,0.00139,24.55,0.000250,283,0.3135,3.6984,0.4344,0.7347,54.7,0.0025,0.0100,4.369,56.0,0.1530,0.542,34.5,0.0450,9.39,55.7,4.388,3.6,0.035,56.29,263121,0.749,4490,12.28,64992,4.86,33992,0.108,836,2.06,12423,5.078,36293,0.93,6899,2.106,17483,0.222,969,0.11,0.0441,0.002,0.025,14.91,11,421,1.5,63,16,92,8,25,15,8,40,1,14,39,21,96,2.5,12,2,120,2.5,13,1.5,97,2.5,34,74,267,2.481396154,0.402737532,2.063683552,0.483997075,1.201700653,0.831615043,0.631614593,0.129961851
3024,UKR,109,Ap,ApN,26.1414,50.0083,5467457.857,3115331.558,294,66,19,65,22,17.7,61.4,20.9,lZ,m,Temp,7.0,624,loess,26,7.07,2,0.0296,8799,3.130,0.000876,3.88,69.3,0.4561,0.1083,6729,0.1766,34.1,5.28,15.48,0.765,11.38,10784,2.487,0.0261,0.13071,0.02355,0.01244,1655,18.427,7.244,1864,402,0.170,39.0,0.448,13.09,789,10.76,0.00050,0.00157,13.75,0.000542,211,0.1292,2.0654,0.4028,0.4487,28.6,0.0025,0.0100,3.879,67.0,0.0953,0.661,19.2,0.0512,8.71,29.2,3.766,2.23,0.022,77.09,360349,0.646,3873,7.47,39535,2.3,16087,0.07,542,0.56,3377,1.356,9691,0.79,5861,1.991,16528,0.205,895,0.05,0.02,0.006,0.025,7.22,5,385,1.5,63,6,67,8,12,8,20,26,1,13,17,16,65,2.5,7,2,89,2.5,11,1.5,51,2.5,31,43,572,2.537267141,0.393912203,2.029417054,0.492309793,1.249705847,0.79978556,0.240920534,0.104748058
3025,GER,144,Ap,ApS,7.5833,47.75,4139712.686,2740338.086,385,71.3,30,56,13,30.1,56.4,13.5,sZ,l,Temp,9.7,772,other,15.2,6.65,1.2,0.0252,11277,12.685,0.002020,1.42,38.1,0.6139,0.1881,2361,0.1398,37.1,11.50,29.35,1.183,11.31,18876,3.213,0.0315,0.03613,0.22748,0.01611,1456,17.296,14.252,2160,759,0.461,31.5,0.707,18.55,771,19.45,0.00050,0.00050,11.50,0.000250,149,0.3600,3.1274,0.1616,0.6913,12.3,0.0025,0.0100,4.994,86.0,0.1386,0.911,39.4,0.2257,7.40,39.2,1.145,1.27,0.017,76.32,356749,0.734,4400,9.24,48903,3.61,25250,0.112,867,0.69,4161,0.585,4181,1.07,7938,1.496,12419,0.207,903,0.005,0.002,0.005,0.025,5.71,17,242,1.5,91,14,90,9,10,8,8,37,1,17,22,23,65,2.5,9,2,89,2.5,17,5,79,2.5,35,51,452,2.480445846,0.402949972,2.059195635,0.485192663,1.204022004,0.830116433,0.141954347,0.039322534
3026,EST,11,Ap,ApN,25.7664,58.5919,5230741.162,4044668.025,46,62.7,54,26,8,61.5,29.8,8.7,lS,l,BoTe,5.2,617,other,11.8,6.1,1.2,0.0452,5467,1.611,0.000753,1.83,26.8,0.1735,0.0759,1621,0.0852,27.8,2.86,7.99,0.597,5.20,7898,1.955,0.0100,0.00500,0.01401,0.01114,708,13.448,5.079,1304,411,0.295,27.6,0.401,5.22,484,9.56,0.00050,0.00050,11.67,0.000250,141,0.0657,0.9582,0.0250,0.3920,15.4,0.0025,0.0100,2.061,148.8,0.0720,0.541,12.8,0.0640,3.96,25.4,0.319,1.44,0.012,81.91,382879,0.239,1433,7.38,39059,1.62,11331,0.063,488,0.41,2472,0.827,5911,1.12,8309,2.361,19600,0.134,585,0.005,0.002,0.006,0.025,3.78,1.5,407,1.5,41,5,17,1.5,2.5,7,2.5,10,1,7,6,19,69,2.5,3,2,106,2.5,8,1.5,26,2.5,18,34,167,2.658010025,0.376065217,2.027311201,0.492902074,1.310626876,0.762684757,0.170186248,0.105053239
3028,SWE,164,Ap,ApN,14.7479,57.9911,4602000.5,3885950.846,217,58.6,53,21,6,66.1,26.1,7.8,lS,l,BoTe,5.8,613,granite,13.3,5.28,2.5,0.0669,6530,5.296,0.000623,1.53,49.6,0.3262,0.1053,1878,0.1924,34.6,3.89,6.68,0.904,12.24,11271,2.524,0.0482,0.00500,0.03070,0.00942,1030,16.900,7.118,1515,621,2.491,40.7,0.937,7.64,878,11.29,0.00050,0.00050,18.26,0.000250,301,0.1842,1.0501,0.2314,0.6811,10.6,0.0025,0.0100,1.125,186.3,0.2489,1.868,17.4,0.0760,6.73,55.0,0.499,2.67,0.026,73.34,342820,0.397,2380,9.72,51443,2.35,16437,0.104,805,0.48,2895,1.064,7604,2.07,15356,2.879,23900,0.249,1087,0.005,0.002,0.01,0.07,7.04,4,623,1.5,58,6,18,4,10,10,8,10,1,12,9,23,90,2.5,5,2,113,2.5,9,3,36,2.5,24,62,323,2.501795423,0.39952958,1.838424778,0.54347944,1.36025218,0.734816479,0.379223876,0.161371862
3029,SPA,135,Ap,ApS,-4.6653,39.0667,3052848.981,1897982.153,660,85,81,20,1,79.8,19.3,1,S,ll,Medi,14.8,479,quartz,7.2,4.52,1.3,0.0067,5539,2.539,0.000607,0.25,24.5,0.2817,0.1022,515,0.0685,17.7,1.32,6.58,0.980,1.72,4961,1.584,0.0100,0.00500,0.08979,0.00628,280,10.109,5.863,314,50,0.195,14.2,0.261,3.87,245,9.46,0.00050,0.00050,8.84,0.000250,65,0.2402,0.5091,0.0623,0.3539,4.1,0.0025,0.0100,2.337,40.5,0.0529,0.620,10.4,0.0363,1.61,6.2,0.465,1.18,0.005,90.95,425136,0.474,2842,3.09,16354,0.94,6575,0.01,77,0.11,663,0.065,465,0.06,445,0.382,3171,0.069,301,0.005,0.002,0.005,0.025,3.64,1.5,94,1.5,46,4,19,5,2.5,4,21,10,1,8,6,12,20,2.5,3,2,19,2.5,9,1.5,20,2.5,20,14,786,2.512100516,0.397919841,2.08259564,0.479835919,1.205825887,0.829000684,0.160929563,0.171201662
