ID,COUNTRY,C_ID,TYPE,TYPE2,XCOO,YCOO,XLAEA,YLAEA,ALT,CIA,sand,silt,clay,sand_norm,silt_norm,clay_norm,soiltype,soilclass,climate,MeanTemp,AnnPrec,PM,CEC,pH_CaCl2,TOC,Ag,Al,As,Au,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Pd,Pt,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,C_tot,S_tot,SiO2,Si_XRF,TiO2,Ti_XRF,Al2O3,Al_XRF,Fe2O3,Fe_XRF,MnO,Mn_XRF,MgO,Mg_XRF,CaO,Ca_XRF,Na2O,Na_XRF,K2O,K_XRF,P2O5,P_XRF,SO3,S_XRF,Cl_XRF,F_XRF,LOI,As_XRF,Ba_XRF,Bi_XRF,Ce_XRF,Co_XRF,Cr_XRF,Cs_XRF,Cu_XRF,Ga_XRF,Hf_XRF,La_XRF,Mo_XRF,Nb_XRF,Ni_XRF,Pb_XRF,Rb_XRF,Sb_XRF,Sc_XRF,Sn_XRF,Sr_XRF,Ta_XRF,Th_XRF,U_XRF,V_XRF,W_XRF,Y_XRF,Zn_XRF,Zr_XRF,208_207,207_208,208_206,206_208,206_207,207_206,SUSCEPTIBILITY,SUSCEPTIBILITY/FE2O3
3453,FIN,89,Ap,ApN,24.05,64.3333,4998954.664,4649314.19,22,50.5,111,2,1,97.5,1.6,0.9,S,ll,Spbo,2.2,525,prec,9.6,5.45,1.3,0.0062,1071,0.573,0.000306,0.68,9.4,0.0250,0.0181,1085,0.0211,6.8,0.50,3.57,0.273,0.65,2207,0.752,0.0373,0.02003,0.01293,0.00150,177,3.782,1.268,356,50,0.076,26.6,0.521,0.82,235,1.84,0.00211,0.00050,1.63,0.000250,90,0.0289,0.2603,0.0764,0.1571,5.9,0.0025,0.0100,0.353,162.2,0.0229,0.239,17.6,0.0434,1.20,3.7,0.422,1.05,0.005,80.52,376382,0.178,1067,8.85,46839,0.94,6575,0.027,209,0.34,2050,1.228,8777,2.43,18027,2.343,19450,0.06,262,0.005,0.002,0.008,0.025,2.88,1.5,541,1.5,10,1.5,14,1.5,2.5,9,2.5,10,1,5,3,6,56,2.5,1,2,185,2.5,2.5,1.5,31,2.5,10,11,107,2.563231294,0.390120247,1.865716739,0.53594405,1.373694684,0.727869192,0.063807073,0.067879865
3454,FIN,30,Ap,ApN,22.8667,61.65,5000991.098,4345480.996,88,54.5,59,43,10,52.7,38.3,9.1,lS,l,BoTe,3.4,610,org,31.6,4.79,17,0.0808,13172,3.660,0.001515,1.38,144.1,0.3580,0.1178,5986,0.2000,45.0,7.86,29.07,1.510,16.95,20796,4.692,0.0841,0.10359,0.07582,0.01340,1205,23.383,15.863,4229,383,0.588,92.5,3.437,14.51,1055,11.35,0.00404,0.00050,16.09,0.000250,950,0.1853,3.8376,0.7665,0.9277,33.4,0.0025,0.0100,2.689,720.6,0.2017,1.812,37.0,0.1902,10.17,40.2,5.225,14.8,0.075,44.02,205767,0.501,3004,9.44,49961,3.78,26439,0.069,534,1.14,6875,1.849,13215,1.68,12463,1.822,15125,0.294,1283,0.005,0.002,0.001,0.025,35.17,3,528,1.5,57,9,46,5,11,13,8,32,1,13,15,19,60,2.5,10,2,152,2.5,7,1.5,59,2.5,25,51,196,2.530472927,0.395178995,1.906107019,0.524586786,1.328412909,0.752805399,0.05339975,0.014126918
3455,SRB,9,Ap,ApS,22.301,43.2394,5317807.298,2318728.911,349,71.5,37,24,22,44.7,29.2,26.1,L,s,Temp,11.1,583,other,35.9,6.02,2,0.0514,22701,9.927,0.004755,2.33,178.8,1.0975,0.2919,5457,0.1634,38.4,12.62,31.94,1.743,23.09,24582,5.498,0.0688,0.18594,0.03453,0.02013,2528,18.836,14.056,3484,639,0.418,43.8,0.655,31.04,328,24.67,0.00459,0.00311,19.18,0.000250,230,0.4673,4.6485,0.3886,0.7947,19.5,0.0025,0.0271,5.725,55.4,0.1804,0.526,45.3,0.0877,11.17,49.0,7.418,1.96,0.108,65.62,306733,0.693,4155,12.4,65627,4.72,33013,0.1,774,0.99,5970,1.096,7833,0.79,5861,1.628,13515,0.101,441,0.02,0.008,0.001,0.025,11.56,13,440,1.5,78,14,88,8,20,15,13,32,1,14,36,31,73,2.5,10,2,87,2.5,10,1.5,99,2.5,32,65,249,2.479218725,0.403324756,2.072118561,0.482646503,1.1962679,0.835957787,0.958087267,0.20298459
3456,SRB,8,Ap,ApS,21.7199,43.4674,5267472.428,2336221.056,179,63.2,31,44,30,29.5,41.9,28.6,L,s,Temp,11.6,623,other,19.3,5.36,0.9,0.0407,13742,7.229,0.001772,2.91,90.8,0.7565,0.2126,2386,0.1407,30.9,12.83,32.54,1.772,17.96,19417,3.987,0.0707,0.07560,0.06231,0.01681,2380,14.629,11.215,3437,621,0.293,37.2,0.494,32.93,532,20.52,0.00158,0.00107,20.85,0.000250,97,0.3590,2.9754,0.4175,0.5148,17.6,0.0025,0.0474,4.749,160.5,0.1570,0.562,32.2,0.0967,8.05,48.3,3.435,0.84,0.005,71.64,334873,0.76,4556,11.8,62452,3.83,26788,0.1,774,0.96,5789,1.041,7440,1.73,12834,2.088,17333,0.139,607,0.005,0.002,0.001,0.025,5.64,11,491,1.5,59,13,96,6,14,13,12,38,1,15,36,28,77,2.5,9,2,142,2.5,11,1.5,79,2.5,31,60,300,2.482799417,0.402789767,2.076783641,0.481444659,1.194911842,0.836661492,0.646083102,0.168690105
3457,UKR,239,Ap,ApS,31.6029,46.7532,5946453.798,2865990.673,26,68.7,23,54,29,21.9,51.2,27,L,s,Temp,10.0,452,other,24.1,4.79,1.5,0.0380,18798,5.545,0.000558,6.24,111.7,1.0533,0.1797,3361,0.1636,48.4,10.78,33.51,1.665,17.15,20511,4.984,0.1029,0.22204,0.01808,0.01982,3995,22.765,18.049,3835,596,0.471,42.1,0.544,27.76,651,13.68,0.00050,0.00156,25.71,0.000250,153,0.2443,4.2587,0.4695,0.6404,38.4,0.0025,0.0100,6.169,100.3,0.1775,0.541,37.8,0.0602,11.29,43.6,8.894,1.49,0.005,70.95,331648,0.766,4592,10.64,56312,3.92,27418,0.091,705,0.96,5789,0.717,5124,0.74,5490,2.287,18985,0.164,716,0.01,0.004,0.001,0.05,8.47,8,432,1.5,72,11,87,5,16,13,9,28,1,15,29,18,86,2.5,10,2,104,2.5,13,1.5,76,2.5,37,59,455,2.528082757,0.395506819,2.060288757,0.485188492,1.227442652,0.814553364,0.565902553,0.144362896
3459,HUN,7,Ap,ApS,17.0885,47.2615,4856957.604,2708772.851,137,73.1,33,41,23,33.6,42.3,24,sL,m,Temp,10.2,592,other,22.3,7.32,1.5,0.0475,11795,6.740,0.002657,4.67,97.3,0.6294,0.2203,19554,0.1874,24.3,9.05,25.38,1.066,22.40,18061,3.462,0.0244,0.06922,0.02143,0.01486,1988,12.084,17.780,5325,676,0.386,42.5,0.499,27.94,757,13.74,0.00498,0.00050,19.02,0.000250,192,0.3408,2.4424,0.5555,0.6689,69.5,0.0025,0.0309,3.979,81.9,0.1304,1.303,22.6,0.0973,7.48,46.5,2.240,2.17,0.013,56.76,265318,0.702,4209,12.88,68168,5.25,36720,0.096,743,2.39,14413,5.634,40266,1.03,7641,2.31,19176,0.225,982,0.09,0.036,0.001,0.08,12.29,11,344,1.5,67,16,113,8,19,16,8,10,1,15,53,19,97,2.5,13,2,147,2.5,11,1.5,100,2.5,28,92,178,2.481365182,0.403005363,2.067781153,0.483751564,1.201259195,0.8326129,0.202385823,0.038549681
3461,ITA,12,Ap,ApS,13.12,38.0192,4596857.309,1665545.06,270,83.2,27,34,17,34.4,43.7,21.9,sL,m,Medi,17.0,582,other,34.2,7.22,0.9,0.0354,21552,9.058,0.001927,4.60,64.3,1.7055,0.1791,6432,0.2269,35.9,11.30,35.58,1.622,19.86,33631,7.222,0.0899,0.20461,0.02886,0.03522,2809,21.810,14.991,2709,525,1.237,76.7,0.345,34.78,266,12.49,0.00050,0.00050,22.63,0.000250,89,0.2987,4.6688,0.7337,1.0025,13.2,0.0025,0.0370,4.567,15.6,0.3112,0.397,43.9,0.0399,24.56,54.2,10.821,0.98,0.005,68.54,320383,0.638,3825,9.97,52766,3.67,25669,0.116,898,1.32,7960,3.246,23199,0.96,7122,1.844,15308,0.188,820,0.08,0.032,0.001,0.025,9.17,10,363,1.5,59,9,65,7,18,12,5,10,1,13,30,18,82,2.5,10,2,129,2.5,8,1.5,70,2.5,26,60,183,2.487284878,0.401968002,2.072150421,0.482631792,1.200322035,0.833229812,0.21662113,0.059024831
3462,POL,99,Ap,ApN,21.8305,50.8423,5150122.161,3148446.816,168,57.2,30,61,9,30,61.2,8.8,sZ,l,Temp,8.0,548,quartz,12.1,6.85,1,0.0254,4778,1.688,0.000203,2.53,35.7,0.2313,0.0635,2358,0.1827,24.3,3.43,7.58,0.408,3.78,5011,1.265,0.0233,0.01961,0.01940,0.01024,534,11.431,4.103,655,398,0.129,14.5,0.218,6.55,318,11.20,0.00050,0.00050,7.13,0.000250,109,0.1736,0.9091,0.3526,0.2569,5.7,0.0025,0.0100,1.964,61.2,0.0684,0.534,9.4,0.0404,4.10,18.8,0.887,0.96,0.077,86.41,403914,0.536,3213,5.04,26674,1.16,8113,0.063,488,0.23,1387,0.593,4238,0.66,4896,1.57,13033,0.087,380,0.005,0.002,0.001,0.025,3.41,1.5,324,1.5,46,5,45,1.5,2.5,5,19,24,1,10,9,18,45,2.5,4,2,58,2.5,6,1.5,26,2.5,24,27,583,2.519376868,0.396770778,2.062660724,0.484936715,1.222902802,0.817900893,0.084920419,0.073207258
3463,UNK,28,Ap,ApS,-3.2248,56.4271,3509696.955,3777673.706,15,67.5,38,46,22,35.5,43.6,20.8,sL,m,Temp,8.4,690,other,20.8,5.71,2.1,0.0894,17244,10.269,0.002098,4.40,161.2,0.9407,0.1339,3703,0.1287,50.8,13.22,44.36,1.369,23.76,28317,5.996,0.0485,0.11177,0.10347,0.02129,2198,24.512,25.120,6485,425,0.793,84.1,1.118,32.63,744,38.26,0.00470,0.00050,18.08,0.000250,268,0.3488,4.7042,0.6064,2.2130,19.0,0.0025,0.0100,4.695,281.0,0.1606,1.354,51.9,0.0699,9.92,66.2,3.637,2.14,0.015,62.11,290326,0.909,5450,14.76,78117,5.35,37420,0.076,589,1.67,10071,1.118,7990,1.64,12166,2.634,21866,0.2,873,0.01,0.004,0.001,0.025,9.22,14,697,1.5,67,16,109,7,20,19,8,37,3,17,38,45,85,2.5,12,6,162,2.5,11,1.5,113,2.5,29,80,244,2.47323285,0.404427617,2.094698208,0.477341384,1.180996579,0.8467261,0.248671142,0.046480587
3465,GER,84,Ap,ApS,9.25,50.75,4268068.495,3071202.948,265,76,52,29,10,57.2,31.6,11.2,lS,l,Temp,8.5,706,other,14.2,6.51,1.5,0.0494,7252,4.158,0.001360,2.04,68.6,0.4218,0.1022,2497,0.1549,21.1,9.29,16.48,0.816,11.07,11472,2.225,0.0100,0.02015,0.47008,0.01068,1130,10.527,4.894,904,377,0.419,38.2,1.992,11.06,622,21.63,0.00251,0.00050,11.80,0.000250,191,0.3413,1.6870,0.2617,1.3684,11.9,0.0025,0.0100,1.889,116.9,0.0907,0.661,21.2,0.1456,5.88,33.0,2.294,1.55,0.005,81.38,380402,0.422,2530,7.13,37736,2.22,15527,0.062,480,0.39,2352,0.532,3802,0.31,2300,1.209,10036,0.181,790,0.03,0.012,0.001,0.025,5.95,8,267,1.5,36,11,49,4,6,7,11,21,1,13,14,32,50,2.5,4,2,85,2.5,9,1.5,42,2.5,24,45,304,2.466122339,0.40540756,2.09223749,0.478125048,1.179355159,0.848101229,0.179621497,0.080910584
3466,SPA,127,Ap,ApS,-1.9417,39.9283,3299497.374,1951038.925,1100,78.2,34,37,28,34.1,37.6,28.3,L,s,Medi,11.1,531,other,27.1,7.43,1,0.0306,24826,7.242,0.000308,7.15,119.5,1.9577,0.3338,15489,0.1827,55.6,11.44,32.44,2.927,13.56,22377,6.694,0.0662,0.18877,0.02189,0.02636,4228,24.896,23.164,12081,720,0.807,48.6,0.482,22.13,258,21.02,0.00114,0.00050,38.70,0.000250,111,0.3109,4.2559,0.4111,1.7353,15.2,0.0025,0.0100,8.132,99.8,0.2557,0.861,37.8,0.0527,13.24,50.8,7.250,1.85,0.005,63.51,296871,0.773,4634,12.86,68062,3.98,27837,0.099,767,2.38,14352,2.307,16488,0.38,2819,2.731,22671,0.088,384,0.07,0.028,0.001,0.025,10.5,11,408,1.5,93,13,59,10,11,15,11,40,1,15,26,30,129,2.5,11,2,66,2.5,20,1.5,68,6,42,65,366,2.488556249,0.401842176,2.053241975,0.487005445,1.212280565,0.824873756,0.578923636,0.1454582
